site,Time,depth,speed,vorticity,Fr,porpoise_present
1,2024/1/6 05:30,10.2167,0.616268,9.67E-05,0.061588731,0
1,2024/1/6 06:00,10.2167,0.616271,9.67E-05,0.061589031,0
1,2024/1/6 06:30,10.2167,0.616274,9.67E-05,0.061589331,0
1,2024/1/6 07:00,10.2167,0.616278,9.67E-05,0.061589731,0
1,2024/1/6 07:30,10.2167,0.616282,9.67E-05,0.061590131,0
1,2024/1/6 08:00,10.2167,0.616285,9.66E-05,0.06159043,0
1,2024/1/6 08:30,10.2166,0.61629,9.66E-05,0.061591232,0
1,2024/1/6 09:00,10.2166,0.616294,9.66E-05,0.061591631,0
1,2024/1/6 09:30,10.2166,0.616298,9.66E-05,0.061592031,0
1,2024/1/6 10:00,10.2165,0.616303,9.66E-05,0.061592832,0
1,2024/1/6 10:30,10.2165,0.616308,9.68E-05,0.061593332,0
1,2024/1/6 11:00,10.2164,0.616313,9.66E-05,0.061594133,0
1,2024/1/6 11:30,10.2164,0.616318,9.65E-05,0.061594633,0
1,2024/1/6 12:00,10.2163,0.616324,9.66E-05,0.061595534,0
1,2024/1/6 12:30,10.2162,0.616329,9.67E-05,0.061596335,0
1,2024/1/6 13:00,10.2162,0.616335,9.67E-05,0.061596935,0
1,2024/1/6 13:30,10.2161,0.616339,9.66E-05,0.061597636,0
1,2024/1/6 14:00,10.216,0.616345,9.66E-05,0.061598537,0
1,2024/1/6 14:30,10.2159,0.616351,9.66E-05,0.061599438,0
1,2024/1/6 15:00,10.2158,0.616358,9.65E-05,0.061600439,0
1,2024/1/6 15:30,10.2158,0.616364,9.66E-05,0.061601039,0
1,2024/1/6 16:00,10.2157,0.61637,9.65E-05,0.06160194,0
1,2024/1/6 16:30,10.2156,0.616377,9.66E-05,0.061602941,0
1,2024/1/6 17:00,10.2155,0.616384,9.65E-05,0.061603942,0
1,2024/1/6 17:30,10.2154,0.616391,9.65E-05,0.061604943,0
1,2024/1/6 18:00,10.2153,0.616398,9.65E-05,0.061605945,0
1,2024/1/6 18:30,10.2152,0.616405,9.65E-05,0.061606946,0
1,2024/1/6 19:00,10.2151,0.616412,9.64E-05,0.061607947,0
1,2024/1/6 19:30,10.215,0.61642,9.65E-05,0.061609048,0
1,2024/1/6 20:00,10.2148,0.616427,9.65E-05,0.061610351,0
1,2024/1/6 20:30,10.2147,0.616435,9.63E-05,0.061611452,0
1,2024/1/6 21:00,10.2146,0.616443,9.65E-05,0.061612553,0
1,2024/1/6 21:30,10.2145,0.61645,9.63E-05,0.061613554,0
1,2024/1/6 22:00,10.2144,0.616458,9.64E-05,0.061614656,0
1,2024/1/6 22:30,10.2143,0.616466,9.63E-05,0.061615757,0
1,2024/1/6 23:00,10.2141,0.616475,9.65E-05,0.06161726,0
1,2024/1/6 23:30,10.214,0.616483,9.63E-05,0.061618361,0
1,2024/1/7,10.2139,0.616491,9.63E-05,0.061619462,0
1,2024/1/7 00:30,10.2137,0.616499,9.63E-05,0.061620865,0
1,2024/1/7 01:00,10.2136,0.616508,9.62E-05,0.061622066,0
